File_name;Com_number;diff_V_B;diff_1_2;Overlapping;S_number_1;Signal_1;S_start_T_1;S_end_T_1;S_duration_1;S_Dur_ana_1;Signal_record_1;V_Combination;V_Mouth_open;V_Sgn_in_frame;S_Comment;S_number_2;Signal_2;S_start_T_2;S_end_T_2;S_duration_2;S_Dur_ana_2;Signal_record_2;Signal_modality;Body_part;Repetition;Audible;Contact_part;Directionality;Distance_rcp;Object;Laterality;Rcp_Body_part;Sig_gaze;Rcp_position;Rcp_Visual_att;Signaller;Signaller_age;Signaller_sex;Sgn_prior_context;Sgn_post_context;Sgn_olf_signals;Goal;Recipient;Recipient_age;Recipeint_sex;NN_Index;Sex_Dyad;Comment;BhvCh_start_T;BhvCh_start;Voc_rcp_T;Voc_rcp;G_rcp_T;G_rcp
ZEWACT_211121_Exp22_LG1;VEC0021b;602;602;Yes;VEG0426;Gesture;200318;201225;907;Include;Ear-Slight-Spread;No;Unk;Yes;NA;VEV0242;Vocalisation;200920;206220;5300;Include;Rumble;Visual;Ear;NV;No;NV;App_Undir;20_50;None;B;NV;VA_front;In front;VA_front;KB;20;Female;Travel;Af_Lit_Greet;None;Greet_sgn;MS;20;Female;0.137141714;Same;NA;214180;Goal_rcp;200920;None;200346;Tail-Waggling
ZEWACT_231121_Exp23;VEC0022a;6670;6670;Yes;VEG0435;Gesture;167423;176570;9147;Include;Ear-Slight-Spread;No;Yes;Yes;NA;VEV0083;Vocalisation;174093;177246;3153;Include;Rumble;Visual;Ear;NV;No;NV;App_Undir;20_50;None;B;NV;VA_front;In front;VA_front;HW;20;Female;Travel;Af_Lit_Greet;Temp_gland_secr;Greet_sgn;KB;20;Female;0.375132225;Same;NA;184847;Time_ex_amb;179893;Unk;162032;Unk
ZEWACT_231121_Exp23;VEC0022a;83;83;Yes;VEG0440;Gesture;164357;165336;979;Include;Ear-Flapping;No;Unk;Yes;NA;VEV0082;Vocalisation;164440;167883;3443;Include;Rumble;Audible;Ear;1;Yes;NV;App_Undir;50_100;None;R;NV;VA_front;In front;VA_front;HW;20;Female;Travel;Af_Lit_Greet;Temp_gland_secr;Greet_sgn;KB;20;Female;0.375132225;Same;NA;184847;Time_ex_amb;179893;Unk;162032;Unk
ZEWACT_231121_Exp24;VEC0023a;3892;3892;Yes;VEG0465;Gesture;306068;313802;7734;Include;Ear-Flapping;No;Unk;Yes;NA;VEV0086;Vocalisation;309960;315000;5040;Include;Rumble;Audible;Ear;4;Yes;Neck;App_Undir;3_5;None;B;NV;VA_front;In front;VA_front;DM;46;Male;Travel;Af_Lit_Greet;Urinating;Greet_rcp;MN;26;Male;0.160529737;Same;NA;314386;Goal_sgn;314100;Ch_rumble_time_inc;250836;Unk
ZEWACT_231121_Exp24;VEC0023a;540;540;Yes;VEG0470;Gesture;296500;301720;5220;Include;Trunk-Swinging;No;No;Yes;NA;VEV0085;Vocalisation;297040;303280;6240;Include;Rumble;Visual;Trunk;2;No;Body_front;App_Undir;10_20;None;NV;NV;VA_front;In front;VA_front;DM;46;Male;Travel;Af_Lit_Greet;Urinating;Greet_rcp;MN;26;Male;0.160529737;Same;NA;314386;Goal_sgn;314100;Ch_rumble_time_inc;250836;Unk
ZEWACT_231121_Exp24;VEC0023a;3338;3338;Yes;VEG0472;Gesture;306622;312322;5700;Include;Trunk-Reach_Touch_Unc;No;Unk;Yes;NA;VEV0086;Vocalisation;309960;315000;5040;Include;Rumble;Unk;Trunk;NV;No;NV;App_Undir;3_5;None;NV;T_Gland;VA_front;In front;VA_front;DM;46;Male;Travel;Af_Lit_Greet;Urinating;Greet_rcp;MN;26;Male;0.160529737;Same;NA;314386;Goal_sgn;314100;Ch_rumble_time_inc;250836;Unk
ZEWACT_251121_Exp25;VEC0024a;3580;3580;Yes;VEG0489;Gesture;75700;79520;3820;Include;Ears-Stiff;No;Unk;Yes;NA;VEV0090;Vocalisation;79280;80760;1480;Exclude_end;Rumble;Visual;Ear;NV;No;NV;App_Undir;20_50;None;B;NV;VA_front;In front;VA_front;DM;46;Male;Travel;Af_Lit_Greet;Urinating;Greet_rcp;HW;20;Female;0.15680396;Different;NA;93000;Time_ex_sgn;75222;Roar;75391;Unk
ZEWACT_251121_Exp25;VEC0024a;422;422;Yes;VEG0491;Gesture;83360;87920;4560;Include;Ear-Spread;No;Yes;Yes;NA;VEV0091;Vocalisation;83782;90000;6218;Include;Rumble;Visual;Ear;NV;No;NV;App_Undir;10_20;None;B;NV;VA_front;In front;VA_front;DM;46;Male;Travel;Af_Lit_Greet;Urinating;Greet_rcp;HW;20;Female;0.15680396;Different;NA;93000;Time_ex_sgn;75222;Roar;75391;Unk
ZEWACT_251121_Exp25;VEC0024a;860;860;Yes;VEG0493;Gesture;93060;94240;1180;Include;Ear-Slap;No;NV;Yes;NA;VEV0092;Vocalisation;93920;96386;2466;Include;Roar;Audible;Ear;NV;Yes;Neck;App_Undir;1_3;None;Ba;NV;VA_front;In front;No_VA;DM;46;Male;Travel;Af_Lit_Greet;Urinating;Greet_rcp;HW;20;Female;0.15680396;Different;NA;93000;Time_ex_sgn;75222;Roar;75391;Unk
ZEWACT_251121_Exp25;VEC0024a;1395;1395;Yes;VEG0496;Gesture;105865;107995;2130;Include;Ear-Slight-Spread;No;Yes;Yes;NA;VEV0094;Vocalisation;107260;110540;3280;Include;Rumble;Visual;Ear;NV;No;NV;App_Undir;1_3;None;B;NV;VA_90;Parallel;No_VA;DM;46;Male;Travel;Af_Lit_Greet;Urinating;Greet_rcp;HW;20;Female;0.15680396;Different;NA;93000;Time_ex_sgn;75222;Roar;75391;Unk
